DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
,,,Introduction to percolation theory,"Preface to the Second Edition Preface to the First Edition Introduction: Forest Fires, Fractal Oil Fields, and Diffusion What is percolation? Forest fires Oil fields and fractals Diffusion in disordered media Coming attractions Further reading Cluster Numbers The truth about percolation Exact solution in one dimension Small clusters and animals in d dimensions Exact solution for the Bethe lattice Towards a scaling solution for cluster numbers Scaling assumptions for cluster numbers Numerical tests Cluster numbers away from Pc Further reading Cluster Structure Is the cluster perimeter a real perimeter? Cluster radius and fractal dimension Another view on scaling The infinite cluster at the threshold Further reading Finite-size Scaling and the Renormalization Group Finite-size scaling Small cell renormalization Scaling revisited Large cell and Monte Carlo renormalization Connection to geometry Further reading Conductivity and Related Properties Conductivity of random resistor networks Internal structure of the infinite cluster Multitude of fractal dimensions on the incipient infinite cluster Multifractals Fractal models Renormalization group for internal cluster structure Continuum percolation, Swiss-cheese models and broad distributions Elastic networks Further reading Walks, Dynamics and Quantum Effects Ants in the labyrinth Probability distributions Fractons and superlocalization Hulls and external accessible perimeters Diffusion fronts Invasion percolation Further reading Application to Thermal Phase Transitions Statistical physics and the Ising model Dilute magnets at low temperatures History of droplet descriptions for fluids Droplet definition for the Ising model in zero field The trouble with Kertesz Applications Dilute magnets at finite temperatures Spin glasses Further reading Summary Numerical Techniques","Dietrich Stauffer,Dietrich Stauffer,Amnon Aharony,Amnon Aharony,S. Redner",,1992
10.1103/physrevlett.71.4083,10055149,,Punctuated equilibrium and criticality in a simple model of evolution.,"A simple and robust model of biological evolution of an ecology of interacting species is introduced. The model self-organizes into a critical steady state with intermittent coevolutionary avalanches of all sizes; i.e., it exhibits punctuated equilibrium'' behavior. This collaborative evolution is much faster than non-cooperative scenarios since no large and coordinated, and hence prohibitively unlikely, mutations are involved.","Per Bak,Per Bak,Kim Sneppen,Kim Sneppen",Physical Review Letters,1993
10.1103/physreva.38.364,9900174,,Self-organized criticality,"We show that certain extended dissipative dynamical systems naturally evolve into a critical state, with no characteristic time or length scales. The temporal ``fingerprint'' of the self-organized critical state is the presence of flicker noise or 1/f noise; its spatial signature is the emergence of scale-invariant (fractal) structure.","Per Bak,Per Bak,Chao Tang,Chao Tang,Kurt Wiesenfeld,Kurt Wiesenfeld",Physical Review A,1988
10.1016/0378-4371(93)90001-k,,,Forest-fire model with immune trees,"We present a generalization of the forest-fire model of P. Bak et al. by including the immunity g which is the probability that a tree is not ignited although one of its neighbors is burning. When g reaches a critical value gc(p), which depends on the tree growth rate p, the fire cannot survive any more, i.e. a continuous phase transition takes place from a steady state with fire to a steady state without fire. We present results of computer simulations and explain them by analytic calculations. The fire spreading at the phase transition represents a new type of percolation which is called “fluctuating site percolation”.","Barbara Drossel,Barbara Drossel,Franz Schwabl,F. Schwabl",Physica A-statistical Mechanics and Its Applications,1993
10.1103/physreve.48.r3214,9961087,,Theory of the one-dimensional forest-fire model.,"Turbulent cascade processes are studied in terms of a one-dimensional forest-fire model. A hier- archy of steady-state equations for the forests and the holes between them is constructed and solved within a mean-field closure scheme. The exact hole distribution function is found to be [ital N][sub [ital H]]([ital s])=4[ital N]/[[ital s]([ital s]+1)([ital s]+2)], where [ital N] is the number of forests.","Maya Paczuski,Maya Paczuski,Per Bak,Per Bak",Physical Review E,1993
10.1103/physrevlett.76.936,10061589,,Self-organized criticality and synchronization in a forest-fire model.,"Depending on the rule for tree growth, the forest-fire model shows either self-organized criticality with rule-dependent exponents, or synchronization, or an intermediate behavior. This is shown analytically for the one-dimensional system, but holds evidently also in higher dimensions.","Barbara Drossel,Barbara Drossel",Physical Review Letters,1996
10.1007/s100510051113,,,Finite-size effects in the self-organized critical forest-fire model,"We study finite-size effects in the self-organized critical forest-fire model by numerically evaluating the tree density and the fire size distribution. The results show that this model does not display the finite-size scaling seen in conventional critical systems. Rather, the system is composed of relatively homogeneous patches of different tree densities, leading to two qualitatively different types of fires: those that span an entire patch and those that do not. As the system size becomes smaller, the system contains less patches, and finally becomes homogeneous, with large density fluctuations in time.","Klaus Schenk,Klaus Schenk,Barbara Drossel,Barbara Drossel,Siegfried Clar,Siegfried Clar,Siegfried Clar,Franz Schwabl,Franz Schwabl,F. Schwabl",European Physical Journal B,2000
10.1103/physreve.71.061109,16089724,,Domain growth in Ising systems with quenched disorder,"We present results from extensive Monte Carlo (MC) simulations of domain growth in ferromagnets and binary mixtures with quenched disorder. These are modeled by the random-bond Ising model and the dilute Ising model with either nonconserved (Glauber) spin-flip kinetics or conserved (Kawasaki) spin-exchange kinetics. In all cases, our MC results are consistent with power-law growth with an exponent $\ensuremath{\theta}(T,ϵ)$ which depends on the quench temperature $T$ and the disorder amplitude $ϵ$. Such exponents arise naturally when the coarsening domains are trapped by energy barriers that grow logarithmically with the domain size. Our MC results show excellent agreement with the predicted dependence of $\ensuremath{\theta}(T,ϵ)$.","Raja Paul,Raja Paul,Sanjay Puri,Sanjay Puri,Heiko Rieger,Heiko Rieger",Physical Review E,2005
10.1016/s0378-4371(98)00587-1,,,Self-Organized Criticality in Forest-Fire Models,"We review properties of the self-organized critical (SOC) forest-fire model (FFM). Self-organized critical systems drive themselves into a critical state without fine-tuning of parameters. After an introduction, the rules of the model, and the conditions for spiral shaped and SOC large-scale structures are given. For the SOC state, critical exponents and scaling relations are introduced. The existence of an upper critical dimension and the universal behavior of the model are discussed. The relations and differences between FFM and percolation systems are outlined considering an extension of the FFM into the regions beyond the critical point. The phase transitions and the different structures found in these regions are illustrated.","Siegfried Clar,Siegfried Clar,Barbara Drossel,Barbara Drossel,Klaus Schenk,Klaus Schenk,Klaus Schenk,Franz Schwabl,Franz Schwabl",Physica A-statistical Mechanics and Its Applications,1999
10.1016/0378-4371(95)00015-y,,,Spreading analysis and finite-size scaling study of the critical behavior of a forest fire model with immune trees,"In a forest fire model with immune trees (FFMIT) recently proposed by Drossel and Schwabl (Physica A 199 (1993) 183), the sites of the lattice are either empty, a tree or a burning tree, and at each time step the system is updated in parallel according to the following rules: (i) A burning tree becomes an empty site, (ii) trees grow with probability p from empty sites, and (iii) a green tree becomes a burning tree with probability (1-g) if at least one next neighbor is burning. Fixing an arbitrary grow probability (p) and starting with a small immunity (g), increments of g causes the fire density of the steady state to decrease until the fire becomes irreversibly extinguished at a certain critical point of coordinates {pc, gc}. The set of critical points defines a critical curve gc (p) which, in the L = ∞ limit, divides the {p, g}-plane in two regions: a steady state with fire fronts for g < gc(p) and an unique absorbing state with all sites occupied by green trees for g ≥ gc(p). It is shown, by means of an epidemic spreading analysis that the continuous irreversible phase transition between the stationary regime and the absorbing state belongs to the same universality class as Reggeon field theory. It is found that within the absorbing state time correlations are short-ranged and that the fire density decrease exponentially. Within the stationary regime the irreversible transition is studied in terms of the finite-size scaling theory that was already developed to describe reversible transitions. The results reported in this work show that problems emerging from (apparently) unrelated branches of science such as particle physics, catalysis, directed percolation, and epidemic spreading can be understood by means of a unified description.","Ezequiel V. Albano,Ezequiel V. Albano,Ezequiel V. Albano",Physica A-statistical Mechanics and Its Applications,1995
10.1126/science.281.5384.1840,,,Forest fires: An example of self-organized critical behavior,"Despite the many complexities concerning their initiation and propagation, forest fires exhibit power-law frequency-area statistics over many orders of magnitude. A simple forest fire model, which is an example of self-organized criticality, exhibits similar behavior. One practical implication of this result is that the frequency-area distribution of small and medium fires can be used to quantify the risk of large fires, as is routinely done for earthquakes.","Bruce D. Malamud,Bruce D. Malamud,G. Morein,Gleb Morein,Donald L. Turcotte,Donald L. Turcotte",Science,1998
10.1016/0167-2789(94)90114-7,,,Spatio-temporal self-organization in a model of disease spreading,"Abstract   We investigate an extended version of the probabilistic Forest-Fire model conceived as a model of disease spreading. We show that the model self-organizes spatially and temporally from random initial conditions into a well-defined state with a characteristic length and time scale. The time scale τ has a power-law dependence on the correlation length ξ, i.e., τ ≈ ξz with a non-trivial exponent of ≈ 0.83 in d = 2. We show that stochastic input of susceptible individuals is essential for this behaviour. A mean field approximation is presented, predicting an exponent of    z =   1  2   .","Anders Johansen,Anders Johansen,Anders Johansen",Physica D: Nonlinear Phenomena,1994
10.1103/physrevlett.62.2632,10040041,,Properties of earthquakes generated by fault dynamics.,"We present a model for fault dynamics consisting of a uniform chain of blocks and springs pulled slowly across a rough surface. The only nonlinear element of our model is a slip-stick friction force between the blocks and the surface. We find that this model gives rise to events of all sizes. Our numerical evaluation of the distribution of earthquake magnitudes results in power-law spectrum similar to what is observed in nature. Like certain other dissipative dynamical systems, the observed large fluctuations in earthquake magnitude persist because the system is in a state of marginal stability.","Jean M. Carlson,Jean M. Carlson,J. M. Carlson,J. M. Carlson,J. S. Langer,James S. Langer",Physical Review Letters,1989
10.1103/physreve.57.6345,,,How self-organized criticality works: A unified mean-field picture,"We present a unified dynamical mean-field theory, based on the single site approximation to the master-equation, for stochastic self-organized critical models. In particular, we analyze in detail the properties of sandpile and forest-fire (FF) models. In analogy with other nonequilibrium critical phenomena, we identify an order parameter with the density of ``active'' sites, and control parameters with the driving rates. Depending on the values of the control parameters, the system is shown to reach a subcritical (absorbing) or supercritical (active) stationary state. Criticality is analyzed in terms of the singularities of the zero-field susceptibility. In the limit of vanishing control parameters, the stationary state displays scaling characteristics of self-organized criticality (SOC). We show that this limit corresponds to the breakdown of space-time locality in the dynamical rules of the models. We define a complete set of critical exponents, describing the scaling of order parameter, response functions, susceptibility and correlation length in the subcritical and supercritical states. In the subcritical state, the response of the system to small perturbations takes place in avalanches. We analyze their scaling behavior in relation with branching processes. In sandpile models, because of conservation laws, a critical exponents subset displays mean-field values $(\ensuremath{\nu}=$$\frac{1}{2}$ and $\ensuremath{\gamma}=1)$ in any dimensions. We treat bulk and boundary dissipation and introduce a critical exponent relating dissipation and finite size effects. We present numerical simulations that confirm our results. In the case of the forest-fire model, our approach can distinguish between different regimes (SOC-FF and deterministic FF) studied in the literature, and determine the full spectrum of critical exponents.","Alessandro Vespignani,Alessandro Vespignani,Stefano Zapperi,Stefano Zapperi",Physical Review E,1998
10.1016/0167-2789(88)90062-0,,,Singular perturbation theory of traveling waves in excitable media (a review),"Abstract   Waves of chemical or electrical activity, traveling through space, have been observed in several contexts: chemical reaction mixtures in non-convecting liquid phase, cell suspensions, nerve axons, and neuromuscular tissues. Typically, wave-supporting preparations are excitable; that is, they respond and sensitivity to perturbations are rapidly damped out, but suprathreshold disturbances trigger an abrupt and substantial response. The abruptness of the response can be exploited by the methods of singular perturbation theory to obtain a mathematical description of wave propagation in spatially distributed excitable media. Singular perturbation analysis of propagating waves in one spatial dimension is straightforward and uncontentious, but the analysis of propagating waves in one spatial dimension is straightforward and several fundamentally different ways. We compare and contrast the approaches taken by Greenberg, Zykov, Fife, Krinskii and his collaborators, and ourselves, with particular emphasis on the case of rotating spiral waves. Our intention is to bring some order to the important but difficult theory of propagating waves in two-dimensional excitable media. In conclusion we discuss briefly some possible extensions of the singular perturbation approach to propagating wave surfaces in three-dimensional space.","John J. Tyson,John J. Tyson,James P. Keener,James P. Keener",Physica D: Nonlinear Phenomena,1988
10.1016/0378-4371(95)00441-6,,,Critical properties of the one-dimensional forest-fire model,"A one-dimensional forest-fire model including lightnings is studied numerically and analytically. For the tree correlation function, a new correlation length with critical exponent v ≈ 56 is found by simulations. A Hamiltonian formulation is introduced which enables one to study the stationary state close to the critical point using quantum-mechanical perturbation theory. With this formulation also the structure of the low-lying relaxation spectrum and the critical behaviour of the smallest complex gap are investigated numerically. Finally, it is shown that critical correlation functions can be obtained from a simplified model involving only the total number of trees although such simplified models are unable to reproduce the correct off-critical behaviour.","A. Honecker,Andreas Honecker,Ingo Peschel,I. Peschel,Ingo Peschel",Physica A-statistical Mechanics and Its Applications,1996
10.1103/physreve.53.414,9964272,,"Avalanche dynamics in evolution, growth, and depinning models","Dynamics of complex systems in nature often occurs in terms of punctuations, or avalanches, rather than following a smooth, gradual path. Theory of avalanche dynamics in models of growth, interface depinning, and evolution is presented. Specifically, we include the Bak-Sneppen evolution model, Sneppen interface depinning model, Zaitsev flux creep model, invasion percolation, and several other depinning models into a unified treatment encompassing a large class of far from equilibrium processes. The formation of fractal structures, the appearance of 1/{ital f} noise, diffusion with anomalous Hurst exponents, L{acute e}vy flights, and punctuated equilibria can all be related to the same underlying avalanche dynamics. This dynamics can be represented as a fractal in {ital d} spatial plus one temporal dimension. The complex state can be reached either by tuning a parameter, or it can be self-organized. We present two {ital exact} equations for the avalanche behavior in the latter case. (1) The slow approach to the critical attractor, i.e., the process of self-organization, is governed by a ``gap`` equation for divergence of avalanche sizes. (2) The hierarchical structure of avalanches is described by an equation for the average number of sites covered by an avalanche. The exponent {gamma} governing the approach tomore» the critical state appears as a constant rather than as a critical exponent. In addition, the conservation of activity in the stationary state manifests itself through the superuniversal result {eta}=0. The exponent {pi} for the L{acute e}vy flight jumps between subsequent active sites can be related to other critical exponents through a study of {open_quote}{open_quote}backward avalanches.{close_quote}{close_quote} We develop a scaling theory that relates many of the critical exponents in this broad category of extremal models, representing different universality classes, to two basic exponents characterizing the fractal attractor. (Abstract Truncated)«less","Maya Paczuski,Maya Paczuski,Sergei Maslov,Sergei Maslov,Per Bak,Per Bak",Physical Review E,1996
10.1103/physrevlett.74.742,10058836,,Self-Organized Criticality in Nonconserved Systems.,"The origin of self-organized criticality in a model without conservation law (Olami, Feder, and Christensen, Phys. Rev. Lett. 68, 1244 (1992)) is studied. The homogeneous system with periodic boundary condition is found to be periodic and neutrally stable. A change to open boundaries results in the invasion of the interior by a “self-organized” region. The mechanism for the self-organization is closely related to the synchronization or phase-locking of the individual elements with each other. A simplified model of marginal oscillator locking on a directed lattice is used to explain many of the features in the non-conserved model: in particular, the dependence of the avalanche","A. Alan Middleton,A. Alan Middleton,Chao Tang,Chao Tang",Physical Review Letters,1995
10.4324/9780203931950-20,,,The morphology of landscape,"The objects which exist together in the landscape
exist in interrelation. We assert that they constitute
a reality as a whole that is not expressed by aregionalist tradition that described the dynamic interaction between humans and their environment from a longterm historical perspective. As a graduate student at the University of Chicago, Sauer had attended Semple’s
lectures, but he came to view the idea of environmental determinants of human behavior as unfounded 
scientifically and even questionable morally. Sauer felt that the evidence supported a view that did not hold
nature constant, but regarded “the scene” of human action (that is, the human-environment relationship) as
constantly changing.","Carl O. Sauer,Carl O. Sauer",,1925
10.1515/znc-1994-11-1222,,,"Intersexual transfer of a toxic terpenoid during copulation and its paternal allocation to developmental stages - quantification of cantharidin in cantharidin-producing oedemerids (Coleoptera, Oedemeridae) and Canthariphilous pyrochroids (Coleoptera, Pyrochroidae)","In whole body extracts of the canthariphilous pyrochroid Schizotus pectinicornis and the cantharidin-producing oedemerid Oedemera femorata cantharidin contents were determined by means of quantitative gas chromatography. Adults and all developmental stages of both species contain this terpenoid, but in considerably different amounts. Cantharidin contents differ significantly between the sexes of adult O. femorata: 8.4 μ,g/female, 3.5 μg/male. Values for Sch. pectinicornis are more than 30-fold lower than those of O. femorata and no intersexual difference in the cantharidin content could be detected. Eggs of O. femorata contained cantharidin and larvae of this species are capable of synthesizing this terpenoid. The total amount of cantharidin increases in successive instars. In Sch. pectinicornis, the content of cantharidin decreases from egg to first instar. Feeding and copulation experiments with [ 2 H 2 ]cantharidin indicate that in O. femorata no or only very small amounts of cantharidin are transferred from males to females at copulation. Thus, males do not invest in the protection of their offspring by cantharidin gifts to the mate. For Sch. pectinicornis an intersexual transfer of labelled cantharidin during copulation was detected. About 45% of the entire cantharidin content in mated females derived from fed males. Analyses of eggs and first instar larvae show that a paternal allocation of 2 [H 2 ]cantharidin to developmental stages exists for this canthariphilous pyrochroid.","Chris Holt,C. Holt,G. Streil,G. Streil,Konrad Dettner,Konrad Dettner,J. Dütemeyer,J. Dutemeyer,Wilhelm Boland,Wilhelm Boland",Zeitschrift für Naturforschung C,1994
10.1016/j.physa.2015.11.022,,,Rise of an alternative majority against opinion leaders,"We investigate the role of opinion leaders or influentials in the collective behavior of a social system. Opinion leaders are characterized by their unidirectional influence on other agents. We employ a model based on Axelrod’s dynamics for cultural interaction among social agents that allows for non-interacting states. We find three collective phases in the space of parameters of the system, given by the fraction of opinion leaders and a quantity representing the number of available states: one ordered phase having the state imposed by the leaders; another nontrivial ordered phase consisting of a majority group in a state orthogonal or alternative to that of the opinion leaders, and a disordered phase, where many small groups coexist. We show that the spontaneous rise of an alternative group in the presence of opinion leaders depends on the existence of a minimum number of long-range connections in the underlying network. This phenomenon challenges the common idea that influentials are fundamental to propagation processes in society, such as the formation of public opinion.","K. Tucci,K. Tucci,Juan Carlos González-Avella,Juan Carlos González-Avella,M. G. Cosenza,Mario G. Cosenza",Physica A-statistical Mechanics and Its Applications,2016
10.1371/journal.pone.0016939,21483665,,Geographic Constraints on Social Network Groups,"Social groups are fundamental building blocks of human societies. While our social interactions have always been constrained by geography, it has been impossible, due to practical difficulties, to evaluate the nature of this restriction on social group structure. We construct a social network of individuals whose most frequent geographical locations are also known. We also classify the individuals into groups according to a community detection algorithm. We study the variation of geographical span for social groups of varying sizes, and explore the relationship between topological positions and geographic positions of their members. We find that small social groups are geographically very tight, but become much more clumped when the group size exceeds about 30 members. Also, we find no correlation between the topological positions and geographic positions of individuals within network communities. These results suggest that spreading processes face distinct structural and spatial constraints.","Jukka‐Pekka Onnela,Jukka-Pekka Onnela,Samuel Arbesman,Samuel Arbesman,Marta C. González,Marta C. González,Albert‐László Barabási,Albert-László Barabási,Nicholas A. Christakis,Nicholas A. Christakis",PLOS ONE,2011
